_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_META_TITLE_,_META_H1_,_META_KEYWORDS_,_SEO_KEYWORD_,_META_DESCRIPTION_,_DESCRIPTION_,_PRICE_,_IMAGE_,,,,,,,,,,,,,,,,,,,,,
39,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Mintron,Mintron MTV-13X11HС,Mintron MTV-13X11HС,Mintron MTV-13X11HС,"Системы видеонаблюдения,Видеонаблюдение,Mintron MTV-13X11HС,Mintron,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Mintron MTV-13X11HС,Mintron,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","chip Panasonic, Video&DC; IRIS.Очень четкая картинка. В укороченном корпусе 51х65х66 мм на 2$ дешевле.","chip Panasonic, Video&DC; IRIS.Очень четкая картинка. В укороченном корпусе 51х65х66 мм на 2$ дешевле.",0,catalog/img/39.jpg,,,,,,,,,,,,,,,,,,,,,
43,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,"Watec Co., Ltd.","Watec Co., Ltd. WAT-902B","Watec Co., Ltd. WAT-902B","Watec Co., Ltd. WAT-902B","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-902B,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-902B,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание Watec Co., Ltd. WAT-902BЧерно-белые камеры Watec Co., Ltd. WAT-902B используют в системах видеонаблюдения внутри помещений с низкой освещенностью. Благодаря своим миниатюрным размерам (35,5х36х58 мм), камеры Watec Co., Ltd. WAT-902B мало заметны,","Описание Watec Co., Ltd. WAT-902BЧерно-белые камеры Watec Co., Ltd. WAT-902B используют в системах видеонаблюдения внутри помещений с низкой освещенностью. Благодаря своим миниатюрным размерам (35,5х36х58 мм), камеры Watec Co., Ltd. WAT-902B мало заметны, в тоже время, они имеют высокое разрешение и чувствительность, и позволяют использовать любые объективы с CS-резьбой. Функция гамма-коррекции позволяет производить точную настройку контрастности изображения, создаваемого камерами Watec Co., Ltd. WAT-902B на видеомониторе. Соотношение сигнал/шум в выходном сигнале не хуже, чем 50 дБ способствует созданию абсолютно чистой картинки без шумов и помех. Компактные, легкие и удобно монтируемые,  камеры Watec Co., Ltd. WAT-902B гармонично вписываются в любой интерьер и остаются практически незаметными.Камеры Watec Co., Ltd. WAT-902B имеют высокое разрешение, что позволяет разглядеть на видеомониторе лицо человека, находящегося на большом расстоянии от камеры или определить номерной знак автомобиля, въезжающего на подземную автостоянку офисного здания. Широкий диапазон выдержек электронного затвора от 1/50 до 1/100000 позволяет использовать камеры Watec Co., Ltd. WAT-902B при различных уровнях освещенности. Автоматическая регулировка усиления осуществляет оптимальную адаптацию камеры cctv к любым условиям работы.Технические характеристики Watec Co., Ltd. WAT-902BФормат:	CCIR
Чувствительный элемент:	CCD 1/2""
Общее количество пикселей:	795 (Г) x 596 (В)
Размер ячейки:	8,6 мкм (Г) x 8,3 мкм (В)
Крепление объектива:	CS резьба
Синхронизация:	внутренняя
Система сканирования:	2:1 чересстрочная
Видеовыход:	композитный сигнал с размахом 1 В, 75 Ом (BNC)
Разрешение камеры:	более 570 ТВЛ
Чувствительность:	0,003 лк (АРУ вкл., F1,4)
Отношение сигнал/шум:	50 дБ
Электронные диафрагма и затвор:	1/50 ~ 1/100 000 сек
АРУ:	вкл./выкл.
Гамма-коррекция:	0,45; 1
Напряжение питания:	+12 В
Потребляемый ток:	135 мА
Габаритные размеры:	35,5x36x58 мм
Температура хранения:	-30 °С ~ +70 °С
Рабочая температура:	-10 °С ~ +40 °С
Вес камеры cctv:	90 гДокументация Watec Co., Ltd. WAT-902B",0,catalog/img/43.jpg,,,,,,,,,,,,,,,,,,,,,
44,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,"Watec Co., Ltd.","Watec Co., Ltd. WAT-127LH","Watec Co., Ltd. WAT-127LH","Watec Co., Ltd. WAT-127LH","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-127LH,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-127LH,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание Watec Co., Ltd. WAT-127LHWatec Co., Ltd. WAT-127LH - чёрно-белая камера высокого разрешения, светочувствительностью лучше, чем у популярной WAT-902B (0.0015 Лк против 0.003 Лк). Комбинированное электробезопасное питание 12 В DC или 24 В АС делает","Описание Watec Co., Ltd. WAT-127LHWatec Co., Ltd. WAT-127LH - чёрно-белая камера высокого разрешения, светочувствительностью лучше, чем у популярной WAT-902B (0.0015 Лк против 0.003 Лк). Комбинированное электробезопасное питание 12 В DC или 24 В АС делает весьма технологичным внутренний и внешний монтаж. Как и во всех последних моделях Watec, автодиафрагма объектива поддерживается в двух форматах - Video и DC. Камера Watec Co., Ltd. WAT-127LH имеет электронный затвор до 1/100000 сек., видео разъем BNC, кабель питания под винт и другие полезные мелочи.Технические характеристики Watec Co., Ltd. WAT-127LHЧувствительный элемент CCD:	1/2""
Синхронизация:	внутренняя
Разрешение:	570 твл
Чувствительность:	0.0015 Лк F1,2
Видеовыход:	1Vp-p 75 Ом
Электронный затвор:	E.I. (OFF~1/100 000), OFF, FL
Гамма коррекция:	0.45/1.0
АРУ:	5~25 Дб
Питание:	DC 12V / AC 24V
Крепление объектива:	CS
Потребление:	200 / 85 mA
Габариты:	44х44x70 мм
Вес:	140 гДокументация Watec Co., Ltd. WAT-127LHИнструкция по эксплуатации Watec Co., Ltd. WAT-127LH",23650,catalog/img/44.jpg,,,,,,,,,,,,,,,,,,,,,
51,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,"Watec Co., Ltd.","Watec Co., Ltd. WAT-902DM3","Watec Co., Ltd. WAT-902DM3","Watec Co., Ltd. WAT-902DM3","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-902DM3,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-902DM3,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание Watec Co., Ltd. WAT-902DM3Черно-белая видеокамера с цифровой обработкой Watec Co., Ltd. WAT-902DM3 является представителем серии высокочувствительных камер, выпускаемых японской фирмой Wateс. Оптимальная область применения подобных камер - улично","Описание Watec Co., Ltd. WAT-902DM3Черно-белая видеокамера с цифровой обработкой Watec Co., Ltd. WAT-902DM3 является представителем серии высокочувствительных камер, выпускаемых японской фирмой Wateс. Оптимальная область применения подобных камер - уличное видео наблюдение. Watec Co., Ltd. WAT-902DM3 является оптимальной для использования в уличных условиях из-за функции ''компенсация заднего света"" и постоянной цифровой обработки аналогого потока (DSP), которая выравнивает, контрастирует и делает чётче видеосигнал. Благодаря высокой чувствительности Watec Co., Ltd. WAT-902DM3 способна работать практически при любых условиях освещённости и подходит как для дневного так и для ночного видео контроля. Для бесперебойной и качественной работы в уличных условиях Watec Co., Ltd. WAT-902DM3 необходима установка камеры термокожух.Технические характеристики Watec Co., Ltd. WAT-902DM3Матрица ПЗС	ICX-409AL
Формат	1/3""
Число элементов	752 х 582
Разрешение	570 ТВЛ
Чувствительность	0.002 lx. F1.4
Потребление	130 мА
Сигнал/шум	52dB
Вес	90г >
Режим MIRROR	12(DC 9-15) B
АРУ	(Hi/Low)Документация Watec Co., Ltd. WAT-902DM3",0,catalog/img/51.jpg,,,,,,,,,,,,,,,,,,,,,
52,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,"Watec Co., Ltd.","Watec Co., Ltd. WAT-902DM3S","Watec Co., Ltd. WAT-902DM3S","Watec Co., Ltd. WAT-902DM3S","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-902DM3S,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-902DM3S,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание Watec Co., Ltd. WAT-902DM3SЧерно-белая видеокамера с цифровой обработкой Watec Co., Ltd. WAT-902DM3S является представителем серии высокочувствительных камер, выпускаемых японской фирмой Wateс. Оптимальная область применения подобных камер - улич","Описание Watec Co., Ltd. WAT-902DM3SЧерно-белая видеокамера с цифровой обработкой Watec Co., Ltd. WAT-902DM3S является представителем серии высокочувствительных камер, выпускаемых японской фирмой Wateс. Оптимальная область применения подобных камер - уличное видео наблюдение. Watec Co., Ltd. WAT-902DM3S является оптимальной для использования в уличных условиях из-за функции ''компенсация заднего света"" и постоянной цифровой обработки аналогого потока (DSP), которая выравнивает, контрастирует и делает чётче видеосигнал. Благодаря высокой чувствительности Watec Co., Ltd. WAT-902DM3S способна работать практически при любых условиях освещённости и подходит как для дневного так и для ночного видео контроля. Для бесперебойной и качественной работы в уличных условиях необходима установка камеры термокожух. Watec Co., Ltd. WAT-902DM3S отличается от Watec Co., Ltd. WAT-902DM3 повышенной чувствительностью.Технические характеристики Watec Co., Ltd. WAT-902DM3SМатрица ПЗС  ICX-259AL
Формат  1/3""
Число элементов  752 х 582
Разрешение  570 ТВЛ
Чувствительность  0.0012 lx. F1.4
Потребление  130 мА
Выходы  АРД DC и VD
Размеры  35x35x64мм
Режим MIRROR  12(DC 9-15) B
АРУ  (Hi/Low)
Вес (гр) 90
Габариты	36х36х64ммДокументация Watec Co., Ltd. WAT-902DM3S ",0,catalog/img/52.jpg,,,,,,,,,,,,,,,,,,,,,
53,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,"Watec Co., Ltd.","Watec Co., Ltd. WAT-902DM2","Watec Co., Ltd. WAT-902DM2","Watec Co., Ltd. WAT-902DM2","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-902DM2,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-902DM2,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание Watec Co., Ltd. WAT-902DM2Watec Co., Ltd. WAT-902DM2 обладает цифровой обработкой сигнала (DSP) и матрицей без расширенного ИК спектра обеспечивающего ""мягкое"" (с большим количеством полутонов) изображение при ярком солнечном освещении,рекомендуе","Описание Watec Co., Ltd. WAT-902DM2Watec Co., Ltd. WAT-902DM2 обладает цифровой обработкой сигнала (DSP) и матрицей без расширенного ИК спектра обеспечивающего ""мягкое"" (с большим количеством полутонов) изображение при ярком солнечном освещении,рекомендуется для уличной установки.Также Watec Co., Ltd. WAT-902DM2 комплектуется универсальным вариофокальным объективом с VD или DC диафрагмами. имеет функцию зеркального (инверсного) отображения видеосигнала.Технические характеристики Watec Co., Ltd. WAT-902DM2Цветность ч/б
Матрица 1/2"" (752х582) 
Разрешение (ТВЛ) 570 ТВЛ
Чувствительность (Лк) 0.0018 Лк F1.4
Сигнал/шум (дБ) 52 дБ (AGC OFF
АРУ (AGC) 8-40 дБ (Hi), 8-22 дБ (Low
АРД Video Drive или DC drive (автоматический выбор) 
Электронный затвор 1/50-1/100000 сек. (автоматический) 1/50 сек. (OFF) 1/120 сек. (FL)
Гамма-коррекция Г=1.0 (OFF)
Компенсация заднего света включаемая/выключаемая
Питание, В 12 V DC ± 15% 120 мА
Габариты 35х35х64 мм
Резьба внешнего объектива CS 
Вес 90 гр.Документация Watec Co., Ltd. WAT-902DM2",0,catalog/img/53.jpg,,,,,,,,,,,,,,,,,,,,,
54,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,"Watec Co., Ltd.","Watec Co., Ltd. WAT-902DM2S","Watec Co., Ltd. WAT-902DM2S","Watec Co., Ltd. WAT-902DM2S","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-902DM2S,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-902DM2S,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание Watec Co., Ltd. WAT-902DM2SWatec Co., Ltd. WAT-902DM2S обладает цифровой обработкой сигнала (DSP) и матрицей без расширенного ИК спектра обеспечивающего ""мягкое"" (с большим количеством полутонов) изображение при ярком солнечном освещении, рекомен","Описание Watec Co., Ltd. WAT-902DM2SWatec Co., Ltd. WAT-902DM2S обладает цифровой обработкой сигнала (DSP) и матрицей без расширенного ИК спектра обеспечивающего ""мягкое"" (с большим количеством полутонов) изображение при ярком солнечном освещении, рекомендуется для уличной установки. Также Watec Co., Ltd. WAT-902DM2S комплектуется универсальным вариофокальным объективом с VD или DC диафрагмами. имеет функцию зеркального (инверсного) отображения видеосигнала. Камера Watec Co., Ltd. WAT-902DM2S отличается от Watec Co., Ltd. WAT-902DM2 повышенной чувствительностьюэТехнические характеристики Watec Co., Ltd. WAT-902DM2SЦветность	ч/б
Матрица	1/2"" (752х582)
Разрешение (ТВЛ)	570 ТВЛ
Чувствительность (Лк)	0.0006 Лк F1.4
Сигнал/шум (дБ)	52 дБ (AGC OFF)
АРУ (AGC)	8-40 дБ (Hi), 8-22 дБ (Low)
АРД	Video Drive или DC drive (автоматический выбор)
Электронный затвор	1/50-1/100000 сек. (автоматический) 1/50 сек. (OFF) 1/120 сек. (FL)
Гамма-коррекция	Г=0,45 (ON), Г=1.0 (OFF)
Компенсация заднего света	включаемая/выключаемая
Питание, В	12 V DC ± 15% 120 мА
Габариты	35х35х64 мм
Резьба внешнего объектива	CS
Вес  90 гр.Документация Watec Co., Ltd. WAT-902DM2S",0,catalog/img/54.jpg,,,,,,,,,,,,,,,,,,,,,
55,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,"Watec Co., Ltd.","Watec Co., Ltd. WAT-137LH","Watec Co., Ltd. WAT-137LH","Watec Co., Ltd. WAT-137LH","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-137LH,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Watec Co., Ltd. WAT-137LH,Watec Co., Ltd.,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание Watec Co., Ltd. WAT-137LHЧерно-белая миникамера Watec Co., Ltd. WAT-137LH монохромная корпусная  без объектива, предназначена для системы видеонаблюдения, охраны и контроля объекта, используетс в системах видеонаблюдения внутри помещений с низкой","Описание Watec Co., Ltd. WAT-137LHЧерно-белая миникамера Watec Co., Ltd. WAT-137LH монохромная корпусная  без объектива, предназначена для системы видеонаблюдения, охраны и контроля объекта, используетс в системах видеонаблюдения внутри помещений с низкой освещенностью. Мини камеры Watec Co., Ltd. WAT-137LH имеют разрешение в 570 ТВЛ, что позволяет разглядеть на видеомониторе лицо человека, находящегося на большом расстоянии от камеры или определить номерной знак автомобиля, въезжающего на подземную автостоянку офисного здания. и позволяет использовать любые объективы с CS-резьбой. Особенностью этих камер является комбинировнное питание 12 B DC и 24 B AC. Функция гамма-коррекции от позволяет производить точную контрастности изображения, создаваемого мини камерами на видеомониторе, а соотношение сигнал/шум в выходном сигнале не хуже чем 50 дБ способствует созданию абсолютно чистой картинки без шумов и помех.Технические характеристики Watec Co., Ltd. WAT-137LHФормат:	CCIR
Чувствительный элемент:	CCD 1/3""
Крепление объектива:	CS резьба
Синхронизация:	внутренняя
Система сканирования:	2:1 чересстрочная
Видеовыход:	композитный сигнал с размахом 1 В, 75 Ом (BNC)
Разрешение камеры:	более 570 ТВЛ
Чувствительность:	0,002 лк (F1,2)
Отношение сигнал/шум:	50 дБ
АРУ:	5-25 дБ.
Гамма-коррекция:	0,45; 1
Напряжение питания:	DC 12 В / AC 24 В
Потребляемый ток:	200 мА / 85 мА
Габаритные размеры:	46,5x44x67,5 мм
Температура хранения:	-30 °С ~ +70 °С
Рабочая температура:	-10 °С ~ +40 °С
Вес мини камеры:	140 гДокументация Watec Co., Ltd. WAT-137LHИнструкция по эксплуатации Watec Co., Ltd. WAT-137LH",0,catalog/img/55.jpg,,,,,,,,,,,,,,,,,,,,,
81,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Merit Li-Lin,Merit Li-Lin PIH 6023P,Merit Li-Lin PIH 6023P,Merit Li-Lin PIH 6023P,"Системы видеонаблюдения,Видеонаблюдение,Merit Li-Lin PIH 6023P,Merit Li-Lin,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Merit Li-Lin PIH 6023P,Merit Li-Lin,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",Технические характеристики:,Технические характеристики:,0,catalog/img/81.jpg,,,,,,,,,,,,,,,,,,,,,
82,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,KT&C,KT&C, KPC-650CH,KT&C, KPC-650CH,KT&C, KPC-650CH,"Системы видеонаблюдения,Видеонаблюдение,KT&C; KPC-650CH,KT&C,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",0,catalog/img/82.jpg,ПРЕДЛАГАЕМ ВЗАМЕН АНАЛОГ: Smartec STC-3080/3 ULTIMATE,0,catalog/img/82.jpg,,,,,,,,,,,,,,,,,,
93,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Mintron,Mintron MTV-63K80AHP,Mintron MTV-63K80AHP,Mintron MTV-63K80AHP,"Системы видеонаблюдения,Видеонаблюдение,Mintron MTV-63K80AHP,Mintron,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Mintron MTV-63K80AHP,Mintron,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","chip Panasonic, внешняя синхронизация,Video&DC;, затвор ручн/авто, BLC, audio,MIRROR.","chip Panasonic, внешняя синхронизация,Video&DC;, затвор ручн/авто, BLC, audio,MIRROR.",0,catalog/img/93.jpg,,,,,,,,,,,,,,,,,,,,,
94,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Mintron,Mintron MTV-63KM21HP,Mintron MTV-63KM21HP,Mintron MTV-63KM21HP,"Системы видеонаблюдения,Видеонаблюдение,Mintron MTV-63KM21HP,Mintron,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Mintron MTV-63KM21HP,Mintron,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","chip Panasonic, Video&DC;, IRIS, BLC, audio, MIRROR, ZOOM.","chip Panasonic, Video&DC;, IRIS, BLC, audio, MIRROR, ZOOM.",0,catalog/img/94.jpg,,,,,,,,,,,,,,,,,,,,,
95,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Mintron,Mintron MTV-63KR11HP,Mintron MTV-63KR11HP,Mintron MTV-63KR11HP,"Системы видеонаблюдения,Видеонаблюдение,Mintron MTV-63KR11HP,Mintron,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Mintron MTV-63KR11HP,Mintron,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Сhip Panasonic, Video&DC; IRIS, правильная цветопередача.","Сhip Panasonic, Video&DC; IRIS, правильная цветопередача.",0,catalog/img/95.jpg,,,,,,,,,,,,,,,,,,,,,
96,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Mintron,Mintron MTV-63KR11P,Mintron MTV-63KR11P,Mintron MTV-63KR11P,"Системы видеонаблюдения,Видеонаблюдение,Mintron MTV-63KR11P,Mintron,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Mintron MTV-63KR11P,Mintron,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Сhip Panasonic, Video&DC; IRIS, правильная цветопередача.","Сhip Panasonic, Video&DC; IRIS, правильная цветопередача.",0,catalog/img/96.jpg,,,,,,,,,,,,,,,,,,,,,
